Date - Heure;Date;Heure;Code INSEE région;Région;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2022-04-09T16:00:00-04:00;2022-04-09;22:00;93;Provence-Alpes-Côte d'Azur;5538;Définitif;;;5538;4439;Consolidé;9977
2022-03-16T07:00:00-04:00;2022-03-16;12:00;93;Provence-Alpes-Côte d'Azur;5711;Définitif;;;5711;5283;Consolidé;10994
2022-03-16T10:00:00-04:00;2022-03-16;15:00;93;Provence-Alpes-Côte d'Azur;5553;Définitif;;;5553;4996;Consolidé;10549
2022-03-16T11:00:00-04:00;2022-03-16;16:00;93;Provence-Alpes-Côte d'Azur;5636;Définitif;;;5636;4840;Consolidé;10476
2022-03-16T17:00:00-04:00;2022-03-16;22:00;93;Provence-Alpes-Côte d'Azur;5575;Définitif;;;5575;4915;Consolidé;10490
2022-03-16T18:30:00-04:00;2022-03-16;23:30;93;Provence-Alpes-Côte d'Azur;;;;;;5316;Consolidé;
2022-03-16T21:00:00-04:00;2022-03-17;02:00;93;Provence-Alpes-Côte d'Azur;4179;Définitif;;;4179;4605;Consolidé;8784
2022-03-17T01:00:00-04:00;2022-03-17;06:00;93;Provence-Alpes-Côte d'Azur;5760;Définitif;;;5760;4483;Consolidé;10243
2022-03-17T02:00:00-04:00;2022-03-17;07:00;93;Provence-Alpes-Côte d'Azur;6294;Définitif;;;6294;4854;Consolidé;11148
2022-03-17T06:00:00-04:00;2022-03-17;11:00;93;Provence-Alpes-Côte d'Azur;5779;Définitif;;;5779;5273;Consolidé;11052
2022-03-17T07:30:00-04:00;2022-03-17;12:30;93;Provence-Alpes-Côte d'Azur;;;;;;5403;Consolidé;
2022-03-17T09:00:00-04:00;2022-03-17;14:00;93;Provence-Alpes-Côte d'Azur;5569;Définitif;;;5569;5278;Consolidé;10847
2022-03-17T11:30:00-04:00;2022-03-17;16:30;93;Provence-Alpes-Côte d'Azur;;;;;;4821;Consolidé;
2022-03-17T12:00:00-04:00;2022-03-17;17:00;93;Provence-Alpes-Côte d'Azur;5504;Définitif;;;5504;4780;Consolidé;10284
2022-03-17T12:30:00-04:00;2022-03-17;17:30;93;Provence-Alpes-Côte d'Azur;;;;;;4793;Consolidé;
2022-03-17T13:00:00-04:00;2022-03-17;18:00;93;Provence-Alpes-Côte d'Azur;5690;Définitif;;;5690;4946;Consolidé;10636
2022-03-29T04:30:00-04:00;2022-03-29;10:30;93;Provence-Alpes-Côte d'Azur;;;;;;4652;Consolidé;
2022-03-29T05:00:00-04:00;2022-03-29;11:00;93;Provence-Alpes-Côte d'Azur;5537;Définitif;;;5537;4530;Consolidé;10067
2022-03-29T08:30:00-04:00;2022-03-29;14:30;93;Provence-Alpes-Côte d'Azur;;;;;;4446;Consolidé;
2022-03-29T10:00:00-04:00;2022-03-29;16:00;93;Provence-Alpes-Côte d'Azur;5279;Définitif;;;5279;4172;Consolidé;9451
2022-03-29T10:30:00-04:00;2022-03-29;16:30;93;Provence-Alpes-Côte d'Azur;;;;;;4058;Consolidé;
2022-03-29T15:30:00-04:00;2022-03-29;21:30;93;Provence-Alpes-Côte d'Azur;;;;;;4464;Consolidé;
2022-03-29T16:30:00-04:00;2022-03-29;22:30;93;Provence-Alpes-Côte d'Azur;;;;;;4319;Consolidé;
2022-03-29T19:00:00-04:00;2022-03-30;01:00;93;Provence-Alpes-Côte d'Azur;5090;Définitif;;;5090;4078;Consolidé;9168
2022-03-30T01:00:00-04:00;2022-03-30;07:00;93;Provence-Alpes-Côte d'Azur;5966;Définitif;;;5966;4267;Consolidé;10233
2022-03-30T09:30:00-04:00;2022-03-30;15:30;93;Provence-Alpes-Côte d'Azur;;;;;;4906;Consolidé;
2022-03-30T11:30:00-04:00;2022-03-30;17:30;93;Provence-Alpes-Côte d'Azur;;;;;;4643;Consolidé;
2022-03-28T13:30:00-04:00;2022-03-28;19:30;93;Provence-Alpes-Côte d'Azur;;;;;;4583;Consolidé;
2022-03-28T16:30:00-04:00;2022-03-28;22:30;93;Provence-Alpes-Côte d'Azur;;;;;;4298;Consolidé;
2022-03-28T21:00:00-04:00;2022-03-29;03:00;93;Provence-Alpes-Côte d'Azur;4789;Définitif;;;4789;3990;Consolidé;8779
2022-03-27T14:30:00-04:00;2022-03-27;20:30;93;Provence-Alpes-Côte d'Azur;;;;;;4630;Consolidé;
2022-03-27T17:30:00-04:00;2022-03-27;23:30;93;Provence-Alpes-Côte d'Azur;;;;;;4735;Consolidé;
2022-03-27T19:00:00-04:00;2022-03-28;01:00;93;Provence-Alpes-Côte d'Azur;4233;Définitif;;;4233;4144;Consolidé;8377
2022-03-27T22:30:00-04:00;2022-03-28;04:30;93;Provence-Alpes-Côte d'Azur;;;;;;3841;Consolidé;
2022-03-28T03:30:00-04:00;2022-03-28;09:30;93;Provence-Alpes-Côte d'Azur;;;;;;4789;Consolidé;
2022-03-28T04:30:00-04:00;2022-03-28;10:30;93;Provence-Alpes-Côte d'Azur;;;;;;4607;Consolidé;
2022-03-28T09:00:00-04:00;2022-03-28;15:00;93;Provence-Alpes-Côte d'Azur;4209;Définitif;;;4209;4230;Consolidé;8439
